Pos from hub,Chord Width,AOA,Pitch,Lin speed,S,RE,Lift N,Rpms,"8,000.00",,,CL,CD,Cl/cd
4,3.5,8.5,-8.5,33.5103216383,0.115550696433447,79247.38225,0.151470785926749,Ang speed,837.76,,,1.3393,0.02844,47.09212377
4.48,3.4,,,37.5315602349,0.140805456645942,86221.15189,0.183427268372668,,,,,1.3933,0.0906,15.3785872
4.96,3.3,,,41.5527988315,0.167518136502579,92651.51091,0.218778686272368,,,,,1.3531,0.0471,28.72823779
5.44,3.2,,,45.5740374281,0.195403490855593,98538.45930,0.000000000000000,,,,,,,
5.92,3.1,,,49.5952760247,0.224176274557215,103881.99708,0.000000000000000,,,,,,,
6.4,3,,,53.6165146213,0.253551242459679,108682.12423,0.000000000000000,,,,,,,
6.88,2.9,,,57.6377532179,0.283243149415217,112938.84076,0.000000000000000,,,,,,,
7.36,2.8,,,61.6589918145,0.312966750276064,116652.14668,0.000000000000000,,,,,,,
7.84,2.7,,,65.6802304111,0.342436799894450,119822.04197,0.000000000000000,,,,,,,
8.32,2.6,,,69.7014690076,0.371368053122610,122448.52664,0.000000000000000,,,,,,,
8.8,2.5,,,73.7227076042,0.399475264812775,124531.60068,0.000000000000000,,,,,,,
9.28,2.4,,,77.7439462008,0.426473189817180,126071.26411,0.000000000000000,,,,,,,
9.76,2.3,,,81.7651847974,0.452076582988056,127067.51691,0.000000000000000,,,,,,,
10.24,2.2,,,85.7864233940,0.476000199177637,127520.35910,0.000000000000000,,,,,,,
10.72,2.1,,,89.8076619906,0.497958793238156,127429.79066,0.000000000000000,,,,,,,
11.2,2,,,93.8289005872,0.517667120021844,126795.81160,0.000000000000000,,,,,,,
11.68,1.9,,,97.8501391838,0.534839934380936,125618.42193,0.000000000000000,,,,,,,
12.16,1.8,,,101.8713777804,0.549191991167664,123897.62162,0.000000000000000,,,,,,,
12.64,1.7,,,105.8926163770,0.560438045234261,121633.41070,0.000000000000000,,,,,,,
13.12,1.6,,,109.9138549736,0.568292851432960,118825.78916,0.000000000000000,,,,,,,
13.6,1.5,,,113.9350935702,0.572471164615993,115474.75700,0.000000000000000,,,,,,,
14.08,1.4,,,117.9563321668,0.572687739635594,111580.31421,0.000000000000000,,,,,,,
14.56,1.3,,,121.9775707634,0.568657331343996,107142.46081,0.000000000000000,,,,,,,
15.04,1.2,,,125.9988093600,0.560094694593430,102161.19678,0.000000000000000,,,,,,,
15.52,1.1,,,130.0200479566,0.546714584236131,96636.52213,0.000000000000000,,,,,,,
16,1,,,134.0412865532,0.440193129270262,90568.43686,0.000000000000000,,,,,,,
16.4,,,,,,,,,,,,,,
